highway,name,lat,lon
,中台IC,35.775883,139.679496
,高島平IC,35.785454,139.649317
,戸田南IC,35.803508,139.648451
,戸田IC,35.819981,139.644207
,箱崎IC,35.680685,139.784428
,箱崎JCT,35.681522,139.786374
,浜町IC,35.68277,139.788736
,清洲橋IC,35.683925,139.790337
,両国JCT,35.691088,139.789725
,向島IC,35.722052,139.809875
,堤通IC,35.735458,139.814917
,加平IC,35.778025,139.824677
,八潮南IC,35.804061,139.831789
,八潮IC,35.812651,139.844307
,三郷JCT/IC,35.836254,139.859282
,錦糸町IC,35.693032,139.815128
,小松川IC,35.699197,139.864467
,一之江IC,35.697428,139.880675
,京葉道路接続SA,35.705052,139.908248
,木場IC,35.672434,139.803422
,塩浜IC,35.663641,139.805364
,枝川IC,35.659584,139.807417
,辰巳JCT,35.64426,139.812775
,豊洲IC,35.64658029385681,139.79028311577608
,東雲JCT,35.638003,139.79709
,台場IC,35.636344,139.77499
,有明JCT,35.630984,139.784062
,常磐橋IC,35.685428,139.770355
,八重洲IC,35.680359,139.76912
,丸の内IC,35.677232,139.767124
,西銀座JCT,35.675856,139.765909
,並木IC,35.361041,139.637223
,幸浦IC,35.361364,139.643542
,杉田IC,35.382404,139.627366
,磯子IC,35.398234,139.617855
,三渓園IC,35.412833,139.659693
,本牧ふ頭IC,35.433898,139.670144
,本牧JCT,35.439632,139.667607
,東扇島IC,35.498892,139.76035
,湾岸環八IC,35.540099,139.793247
,空港中央IC,35.5499,139.786351
,東海JCT,35.580893,139.756531
,大井南IC,35.595379,139.755339
,臨海副都心IC,35.624285,139.772081
,13号地IC,35.624285,139.772081
,有明IC,35.639776,139.800331
,新木場IC,35.646968,139.830714
,葛西IC,35.64507,139.861024
,舞浜IC,35.638096,139.880386
,浦安IC,35.646054,139.898183
,千鳥町IC,35.673304,139.928471
,大師IC,35.537321,139.741337
,大師JCT/IC,35.537321,139.741337
,浜川崎IC,35.513429,139.719426
,浅田IC,35.50397,139.701819
,汐入IC,35.499231,139.692442
,生麦JCT,35.49146344424881,139.6709202429883
,生麦IC,35.490818,139.66928
,守屋町IC,35.486176,139.657292
,子安IC,35.484938,139.652798
,東神奈川IC,35.475765,139.63676
,金港JCT,35.467323,139.625226
,横浜駅東口IC,35.463153,139.62387
,みなとみらいIC,35.456535,139.626774
,横浜公園IC,35.441688,139.639444
,石川町JCT,35.43851,139.642693
,横浜駅西口IC,35.468657,139.615699
,三ツ沢IC,35.472761,139.602946
,第三京浜接続IC,35.474651,139.600001
,新山下IC,35.439409,139.661991
,山下町IC,35.44327,139.656691
,石川町IC,35.439427,139.645113
,阪東橋IC,35.435907,139.622979
,花之木IC,35.434552,139.614666
,永田IC,35.439707,139.597292
,狩場IC,35.441288,139.580467
,大黒ふ頭/大黒JCT,35.461755,139.678971
,大黒ふ頭IC,35.461755,139.678971
,浮島/川崎浮島JCT,35.518485,139.79163
,殿町IC,35.537671,139.758411
,鹿浜橋IC,35.778066,139.746846
,東領家IC,35.789917,139.755104
,足立入谷IC,35.80668,139.759065
,新郷IC,35.819503,139.759975
,安行IC,35.83315,139.756545
,新井宿IC,35.846958,139.739442
,川口JCT,35.853005,139.733918
,与野IC,35.891565,139.611655
,新都心西IC,35.897137,139.621275
,新都心IC,35.894547,139.637602
,さいたま見沼IC,35.895192,139.663396
,南浦和IC,35.832883,139.632909
,浦和北IC,35.868939,139.620125
,東片端IC,35.180147,136.913916
,東新町IC,35.170276,136.914533
,丸田町JCT,35.161263,136.915552
,東別院IC,35.149901,136.904059
,錦橋IC,35.169105,136.889795
,名駅IC,35.169804,136.889794
,明道町IC,35.179526,136.889971
,東片端JCT,35.178533,136.914091
,黒川IC,35.195359,136.912417
,楠JCT,35.229227,136.909925
,新洲崎JCT,35.162109,136.890883
,白川IC,35.16225,136.896417
,吹上東IC,35.160021,136.927443
,吹上西IC,35.160237,136.925223
,春岡IC,35.159208,136.939653
,四谷IC,35.159705,136.958614
,高針IC,35.149633,136.993294
,高針JCT,35.14738,137.000088
,鶴舞南JCT,35.150252,136.917261
,高辻IC,35.139946,136.918308
,堀田IC,35.125566,136.920291
,呼続IC,35.109571,136.922873
,笠寺IC,35.094989,136.928901
,大高IC,35.058331,136.932808
,星崎IC,35.081245,136.927662
,山王JCT,35.152045,136.892696
,六番北IC,35.128444,136.890821
,黄金IC,35.159354,136.879902
,烏森IC,35.15748,136.861036
,千音寺IC,35.15768,136.821453
,名古屋西JCT,35.158082792715454,136.8182884396242
,明道町JCT,35.17763,136.889932
,庄内通IC,35.200576,136.890773
,鳥見町IC,35.203105,136.884282
,清須IC,35.219929,136.855755
,豊山南IC,35.240227,136.909048
,豊山北IC,35.261987,136.907978
,小牧南IC,35.275967,136.906947
,堀の内IC,35.286972,136.906031
,西春IC,35.253517,136.843434
,一宮西春IC,35.262205,136.841221
,一宮南IC,35.266201,136.837248
,一宮東IC,35.286368,136.829801
,一宮中IC,35.301185,136.822331
,湊町JCT/IC,34.667187,135.498044
,四ツ橋IC,34.675048,135.497641
,信濃橋／西船場JCT,34.681924,135.498028
,西船場JCT,34.681924,135.498028
,土佐堀IC,34.690696,135.497586
,中之島JCT,34.691938,135.497553
,堂島IC,34.695095,135.499065
,北浜IC,34.693817,135.506435
,渡辺橋JCT,34.691929,135.509615
,高麗橋IC,34.688405,135.509802
,長堀IC,34.677749,135.510845
,道頓堀IC,34.670418,135.510572
,高津IC/JCT,34.666749,135.510378
,夕陽丘IC,34.660321,135.509511
,公園北JCT,34.654935,135.508444
,えびす町IC,34.655517,135.504408
,なんばIC,34.658106,135.500546
,北港JCT,34.667403,135.421604
,島屋／ユニバーサルシティIC,34.670648,135.429266
,島屋東／島屋IC,34.67308,135.434147
,出入橋IC,34.695001,135.49243
,中之島IC,34.692411,135.493493
,梅田IC,34.697749,135.48992
,福島IC,34.698329,135.485619
,塚本IC,34.714079,135.467096
,加島IC,34.724174,135.456604
,豊中南IC,34.759905,135.461777
,豊中北IC,34.780621,135.454646
,大阪空港IC,34.789358,135.447432
,神田IC,34.813409,135.419115
,川西小花IC,34.825506,135.419896
,池田木部IC,34.837515,135.426028
,南森町IC,34.699535,135.509406
,扇町IC,34.70273,135.510351
,長柄IC,34.706187,135.51605
,都島IC,34.721744,135.52883
,城北IC,34.72118,135.536031
,守口IC,34.751721,135.573181
,森小路IC,34.715271,135.554558
,東船場JCT,34.681806,135.510552
,法円坂IC,34.681363,135.518523
,森之宮IC,34.681492,135.529079
,高井田IC,34.678334,135.565153
,長田IC,34.678721,135.588793
,東大阪荒本/東大阪JCT,34.678656,135.597218
,中野IC,34.678598,135.606674
,水走IC,34.680182,135.630612
,天王寺IC,34.648973,135.506611
,阿倍野IC,34.647456,135.506069
,文の里IC,34.637013,135.517166
,駒川IC,34.622516,135.531063
,平野IC,34.61985,135.548909
,喜連瓜破IC,34.610715,135.549124
,大堀IC,34.592811,135.568654
,松原JCT,34.589894,135.575628
,汐見橋IC,34.666282,135.486677
,芦原IC,34.659216,135.486545
,浜津橋JCTIC,34.653443,135.48545
,津守IC,34.646711,135.486241
,玉出IC,34.624157,135.486837
,住之江IC,34.606228,135.483239
,堺（R26）IC,34.573216,135.475952
,阿波座IC,34.681646,135.493028
,西長堀JCT/IC,34.681213,135.486367
,本田／九条IC,34.677565,135.476546
,波除IC,34.670369,135.466784
,天保山JCT,34.653893,135.440738
,西長堀JCT,34.681213,135.486367
,北津守IC,34.65451,135.481078
,大正東IC,34.655365,135.477683
,大正西IC,34.660809,135.466771
,弁天町IC,34.665608,135.464025
,安治川IC,34.671215,135.460708
,南港北IC,34.634544,135.434451
,南港中IC,34.619818,135.434767
,南港南IC,34.61199,135.442328
,三宝IC,34.599133,135.462295
,大浜IC,34.582932,135.459399
,出島IC,34.568652,135.455987
,石津IC,34.56094,135.45016
,浜寺IC,34.545806,135.437779
,高石IC,34.534344,135.430198
,助松JCTIC,34.519085,135.418464
,泉大津IC,34.510452,135.406085
,岸和田北IC,34.491729,135.37996
,岸和田南IC,34.458662,135.359647
,泉佐野北IC,34.427138,135.328066
,泉佐野南IC,34.416412,135.309383
,りんくうJCT,34.412393,135.296892
,中ノ島西IC,34.68528,135.484526
,海老江IC,34.695208,135.466027
